label,ideal_logit,ideal_prob,hardware_logit,hardware_prob
0,5.41288662,0.00001988,0.00000000,0.00002010
1,-27.06443405,0.00000000,-21.62049294,0.00000000
2,-16.23865891,0.00000000,-10.81024647,0.00000000
3,5.41288662,0.00001988,0.00000000,0.00002010
4,-37.89020538,0.00000000,-27.02561569,0.00000000
5,5.41288662,0.00001988,5.40512323,0.00447313
6,0.00000000,0.00000009,0.00000000,0.00002010
7,-32.47731781,0.00000000,-27.02561569,0.00000000
8,16.23865891,0.99994028,10.81024647,0.99546659
9,-10.82577324,0.00000000,-10.81024647,0.00000000
