epoch,fake_quant_enabled,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,lr
1,0,2.100055,18.2367,2.037418,19.4000,0.0000,0.0002926585
2,0,0.874695,68.3017,0.461099,87.9200,0.0000,0.0002713525
3,0,0.193428,96.5367,0.105949,97.8100,0.0000,0.0002381678
4,1,0.179383,94.0233,0.081697,97.3300,97.3300,0.0001963525
5,1,0.081793,97.5617,0.107779,97.5700,97.5700,0.0001500000
6,1,0.058405,98.1950,0.106101,96.6300,97.5700,0.0001036475
7,1,0.050448,98.4683,0.061735,98.0900,98.0900,0.0000618322
8,1,0.039443,98.7450,0.229310,92.1700,98.0900,0.0000286475
9,1,0.036096,98.9433,0.106340,96.3700,98.0900,0.0000073415
10,1,0.035605,98.8767,0.129801,95.9800,98.0900,0.0000000000
