epoch,step,total_steps,train_loss,train_acc,val_probe_loss,val_probe_acc,val_probe_batches
1,20,469,2.412613,13.1641,2.317633,11.7188,5
1,40,469,2.332442,13.3789,2.341859,8.7500,5
1,60,469,2.300388,12.4089,2.311877,8.7500,5
1,80,469,2.262722,12.5391,2.255818,20.9375,5
1,100,469,2.269756,12.3516,2.293845,11.7188,5
1,120,469,2.280067,12.0052,2.317761,11.7188,5
1,140,469,2.292467,11.5179,2.293563,22.1875,5
1,160,469,2.295381,11.8066,2.376012,4.0625,5
1,180,469,2.294030,11.4974,2.470094,11.7188,5
1,200,469,2.295652,11.6094,2.401795,6.2500,5
1,220,469,2.295531,11.6051,2.251244,19.0625,5
1,240,469,2.291853,11.7415,2.267971,11.7188,5
1,260,469,2.291572,11.9621,2.222902,19.2188,5
1,280,469,2.283249,12.4526,2.089950,20.4688,5
1,300,469,2.268309,13.2005,4.877266,11.7188,5
1,320,469,2.257922,13.5034,2.001863,20.4688,5
1,340,469,2.242454,14.0051,2.200648,21.7188,5
1,360,469,2.228359,14.4379,2.456816,15.6250,5
1,380,469,2.211584,15.1110,2.221525,18.1250,5
1,400,469,2.190752,15.6602,2.049145,22.6562,5
1,420,469,2.166059,16.2742,1.925077,23.9062,5
1,440,469,2.139708,17.0384,1.625312,34.8438,5
1,460,469,2.112368,17.8770,1.758711,28.9062,5
1,469,469,2.100055,18.2367,2.024839,20.3125,5
2,20,469,1.406437,41.4453,1.624920,31.2500,5
2,40,469,1.360113,44.4141,2.177724,20.4688,5
2,60,469,1.323756,45.8073,1.283426,48.7500,5
2,80,469,1.301834,46.6504,1.286896,46.8750,5
2,100,469,1.283262,47.9375,1.367097,41.7188,5
2,120,469,1.257902,49.0951,1.415634,35.6250,5
2,140,469,1.230282,50.4520,1.058739,63.4375,5
2,160,469,1.205538,51.8359,1.016225,65.0000,5
2,180,469,1.181803,53.0686,1.053294,61.7188,5
2,200,469,1.156762,54.3164,0.986290,61.7188,5
2,220,469,1.133257,55.4013,1.016790,60.6250,5
2,240,469,1.111364,56.2826,0.914277,67.3438,5
2,260,469,1.090242,57.3317,1.128659,53.7500,5
2,280,469,1.069656,58.3371,0.851286,71.7188,5
2,300,469,1.047385,59.4036,0.765540,73.1250,5
2,320,469,1.025583,60.4346,0.730823,73.5938,5
2,340,469,1.006032,61.4223,0.719090,76.7188,5
2,360,469,0.985216,62.5694,0.810138,67.5000,5
2,380,469,0.964640,63.6328,0.572945,79.0625,5
2,400,469,0.943053,64.7695,0.618111,84.8438,5
2,420,469,0.922029,65.8873,0.483892,92.0312,5
2,440,469,0.902815,66.9318,0.492539,88.5938,5
2,460,469,0.883447,67.8516,0.447531,89.6875,5
2,469,469,0.874695,68.3017,0.502224,87.0312,5
3,20,469,0.393353,92.2656,0.412676,92.3438,5
3,40,469,0.367881,93.4570,0.432728,90.3125,5
3,60,469,0.361664,93.4766,0.331286,93.5938,5
3,80,469,0.350569,93.8379,0.315444,95.0000,5
3,100,469,0.336858,94.1484,0.280686,94.5312,5
3,120,469,0.320313,94.4596,0.237725,96.2500,5
3,140,469,0.304771,94.7321,0.205116,95.4688,5
3,160,469,0.292835,94.9219,0.227221,95.3125,5
3,180,469,0.281917,95.1085,0.284839,91.4062,5
3,200,469,0.271554,95.2617,0.172801,96.5625,5
3,220,469,0.261798,95.4332,0.245322,94.2188,5
3,240,469,0.253042,95.5632,0.178378,95.7812,5
3,260,469,0.246858,95.6761,0.148217,96.8750,5
3,280,469,0.239367,95.7645,0.226458,93.4375,5
3,300,469,0.232172,95.8698,0.150631,95.9375,5
3,320,469,0.226235,95.9424,0.209664,95.3125,5
3,340,469,0.220680,96.0317,0.149216,96.5625,5
3,360,469,0.216362,96.1198,0.137204,96.7188,5
3,380,469,0.211232,96.1965,0.135858,97.1875,5
3,400,469,0.207401,96.2793,0.118840,97.5000,5
3,420,469,0.202435,96.3709,0.124489,97.6562,5
3,440,469,0.198649,96.4364,0.119566,97.5000,5
3,460,469,0.195135,96.5065,0.118950,97.9688,5
3,469,469,0.193428,96.5367,0.120403,97.5000,5
4,20,469,0.707136,73.9453,0.778251,66.5625,5
4,40,469,0.475145,82.9492,0.550605,79.8438,5
4,60,469,0.394175,85.9375,0.572680,78.2812,5
4,80,469,0.342481,87.8809,0.172366,93.7500,5
4,100,469,0.312136,89.0156,1.313279,62.5000,5
4,120,469,0.290532,89.7721,0.899237,75.0000,5
4,140,469,0.269267,90.5580,0.354769,89.2188,5
4,160,469,0.263762,90.8398,0.303079,89.6875,5
4,180,469,0.253863,91.1936,0.397712,86.4062,5
4,200,469,0.246692,91.4961,0.168712,92.9688,5
4,220,469,0.240015,91.7045,0.255645,88.7500,5
4,240,469,0.234523,91.8848,0.180238,94.3750,5
4,260,469,0.229223,92.1064,0.215480,91.5625,5
4,280,469,0.222124,92.3577,0.157906,94.0625,5
4,300,469,0.216064,92.5729,0.328403,89.2188,5
4,320,469,0.211822,92.7563,0.227308,95.0000,5
4,340,469,0.208331,92.9251,0.140776,95.4688,5
4,360,469,0.202555,93.1207,0.113625,95.4688,5
4,380,469,0.198549,93.2915,0.637545,79.8438,5
4,400,469,0.192979,93.5059,0.280724,91.0938,5
4,420,469,0.188507,93.6719,0.242035,93.7500,5
4,440,469,0.185196,93.8050,0.334874,91.0938,5
4,460,469,0.181527,93.9453,0.097953,96.8750,5
4,469,469,0.179383,94.0233,0.075724,96.4062,5
5,20,469,0.093199,97.4609,0.225851,92.1875,5
5,40,469,0.092406,97.4023,0.094924,96.0938,5
5,60,469,0.089744,97.4870,0.109232,96.7188,5
5,80,469,0.088711,97.4219,0.453651,81.7188,5
5,100,469,0.087237,97.4062,0.115458,95.7812,5
5,120,469,0.085527,97.4674,0.100828,96.7188,5
5,140,469,0.086641,97.3996,0.085699,97.0312,5
5,160,469,0.086911,97.3633,0.186915,93.7500,5
5,180,469,0.086304,97.3655,0.155625,95.4688,5
5,200,469,0.086790,97.3359,0.106096,96.0938,5
5,220,469,0.087454,97.3153,0.247773,91.0938,5
5,240,469,0.086777,97.3665,0.079301,97.5000,5
5,260,469,0.086659,97.3377,0.068415,97.1875,5
5,280,469,0.085334,97.3744,0.179425,93.5938,5
5,300,469,0.085096,97.3906,0.085286,96.7188,5
5,320,469,0.084784,97.4121,0.169675,94.0625,5
5,340,469,0.083139,97.4586,0.095753,96.7188,5
5,360,469,0.082819,97.4826,0.092888,97.0312,5
5,380,469,0.083626,97.4692,0.082226,96.7188,5
5,400,469,0.083417,97.4648,0.058733,97.6562,5
5,420,469,0.082484,97.5074,0.387268,87.9688,5
5,440,469,0.082592,97.5231,0.092886,96.5625,5
5,460,469,0.081958,97.5510,0.079391,96.5625,5
5,469,469,0.081793,97.5617,0.086109,96.4062,5
6,20,469,0.074825,97.6172,0.091073,96.5625,5
6,40,469,0.074044,97.8906,0.059006,97.6562,5
6,60,469,0.069623,98.0729,0.078292,97.5000,5
6,80,469,0.066374,98.1055,0.076221,97.5000,5
6,100,469,0.062678,98.1719,0.062336,97.5000,5
6,120,469,0.063539,98.1250,0.112301,96.2500,5
6,140,469,0.064192,98.1250,0.070263,97.3438,5
6,160,469,0.061750,98.1836,0.050007,97.9688,5
6,180,469,0.060865,98.2422,0.057837,98.2812,5
6,200,469,0.060748,98.1914,0.087539,96.4062,5
6,220,469,0.059818,98.1818,0.102276,96.7188,5
6,240,469,0.060064,98.1673,0.098004,96.0938,5
6,260,469,0.060107,98.1701,0.057761,97.6562,5
6,280,469,0.060466,98.1808,0.050262,97.9688,5
6,300,469,0.059305,98.2188,0.098771,96.2500,5
6,320,469,0.059515,98.1958,0.267570,90.7812,5
6,340,469,0.059262,98.1939,0.100778,96.5625,5
