epoch,fake_quant_enabled,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,lr
1,0,1.014405,63.3133,0.194510,96.8600,0.0000,0.0002926585
2,0,0.137824,97.5133,0.076944,98.4500,0.0000,0.0002713525
3,0,0.075016,98.5250,0.070332,98.4200,0.0000,0.0002381678
4,1,0.072417,97.6883,0.057141,98.7000,98.7000,0.0001963525
5,1,0.049210,98.5317,0.072816,98.2000,98.7000,0.0001500000
6,1,0.042075,98.7567,0.050059,98.9500,98.9500,0.0001036475
7,1,0.032867,98.9633,0.056284,98.9800,98.9800,0.0000618322
8,1,0.023919,99.2200,0.057665,98.8900,98.9800,0.0000286475
9,1,0.022641,99.2883,0.635045,79.8500,98.9800,0.0000073415
10,1,0.017647,99.3933,0.048212,99.0300,99.0300,0.0000000000
