epoch,step,total_steps,train_loss,train_acc,val_probe_loss,val_probe_acc,val_probe_batches
1,20,469,2.352624,13.7500,2.302344,11.7188,5
1,40,469,2.296705,15.9961,2.294777,11.7188,5
1,60,469,2.190097,18.2552,2.154501,15.1562,5
1,80,469,2.075901,19.6582,1.901829,22.0312,5
1,100,469,1.989830,21.3984,1.633443,35.6250,5
1,120,469,1.914428,23.8607,1.554959,38.1250,5
1,140,469,1.849177,26.2500,1.383569,32.9688,5
1,160,469,1.784562,28.2764,1.315901,40.6250,5
1,180,469,1.733073,29.9783,1.273512,52.5000,5
1,200,469,1.679995,32.0273,1.165340,61.5625,5
1,220,469,1.624949,34.5987,1.148541,49.2188,5
1,240,469,1.574798,37.1549,0.942209,67.5000,5
1,260,469,1.522278,39.7927,0.830896,75.4688,5
1,280,469,1.462006,42.7874,0.713061,79.8438,5
1,300,469,1.404230,45.6771,0.584456,86.0938,5
1,320,469,1.348670,48.5571,0.512255,89.2188,5
1,340,469,1.291473,51.1880,0.571284,84.0625,5
1,360,469,1.238247,53.6306,0.304497,95.6250,5
1,380,469,1.189517,55.7669,0.678142,79.5312,5
1,400,469,1.144912,57.7188,0.296023,92.9688,5
1,420,469,1.104861,59.4940,0.282092,92.9688,5
1,440,469,1.066113,61.1577,0.225834,94.5312,5
1,460,469,1.029696,62.6834,0.217143,95.4688,5
1,469,469,1.014405,63.3133,0.225611,95.9375,5
2,20,469,0.214832,96.3672,0.210860,95.1562,5
2,40,469,0.205047,96.4648,0.157653,96.8750,5
2,60,469,0.194279,96.6797,0.204731,95.6250,5
2,80,469,0.187040,96.8652,0.156040,97.1875,5
2,100,469,0.180141,97.0078,0.288093,94.0625,5
2,120,469,0.177488,96.9727,0.576279,84.5312,5
2,140,469,0.174766,96.9978,0.138412,96.4062,5
2,160,469,0.170412,97.1094,0.161077,97.1875,5
2,180,469,0.165108,97.1875,0.118497,97.9688,5
2,200,469,0.161077,97.2500,0.156067,96.8750,5
2,220,469,0.158101,97.2372,0.134195,97.5000,5
2,240,469,0.156381,97.2689,0.108914,98.2812,5
2,260,469,0.154059,97.3227,0.143369,96.0938,5
2,280,469,0.151897,97.3577,0.113074,97.1875,5
2,300,469,0.150461,97.3750,0.131121,97.0312,5
2,320,469,0.149287,97.3755,0.112228,97.6562,5
