index,input,output
0,-1.00000000,0.00000000
1,-0.98425198,0.00000000
2,-0.96850395,0.00000000
3,-0.95275593,0.00000000
4,-0.93700790,0.00000000
5,-0.92125982,0.00000000
6,-0.90551180,0.00000000
7,-0.88976377,0.00000000
8,-0.87401575,0.00000000
9,-0.85826772,0.00000000
10,-0.84251970,0.00000000
11,-0.82677162,0.00000000
12,-0.81102359,0.00000000
13,-0.79527557,0.00000000
14,-0.77952754,0.00000000
15,-0.76377952,0.00000000
16,-0.74803150,0.00000000
17,-0.73228347,0.00000000
18,-0.71653545,0.00000000
19,-0.70078743,0.00000000
20,-0.68503940,0.00000000
21,-0.66929138,0.00000000
22,-0.65354329,0.00000000
23,-0.63779527,0.00000000
24,-0.62204725,0.00000000
25,-0.60629922,0.00000000
26,-0.59055120,0.00000000
27,-0.57480311,0.00000000
28,-0.55905509,0.00000000
29,-0.54330707,0.00000000
30,-0.52755904,0.00000000
31,-0.51181102,0.00000000
32,-0.49606299,0.00000000
33,-0.48031497,0.00000000
34,-0.46456695,0.00000000
35,-0.44881892,0.00000000
36,-0.43307090,0.00000000
37,-0.41732281,0.00000000
38,-0.40157479,0.00000000
39,-0.38582677,0.00000000
40,-0.37007874,0.00000000
41,-0.35433072,0.00000000
42,-0.33858269,0.00000000
43,-0.32283467,0.00000000
44,-0.30708659,0.00000000
45,-0.29133856,0.00000000
46,-0.27559054,0.00000000
47,-0.25984251,0.00000000
48,-0.24409449,0.00000000
49,-0.22834647,0.00000000
50,-0.21259844,0.00000000
51,-0.19685042,0.00000000
52,-0.18110240,0.00000000
53,-0.16535431,0.00000000
54,-0.14960629,0.00000000
55,-0.13385826,0.00000000
56,-0.11811024,0.00000000
57,-0.10236222,0.00000000
58,-0.08661419,0.00000000
59,-0.07086617,0.00000000
60,-0.05511808,0.00000000
61,-0.03937006,0.00000000
62,-0.02362204,0.00000000
63,-0.00787401,0.00000000
64,0.00787401,0.00787402
65,0.02362204,0.02362205
66,0.03937006,0.03937008
67,0.05511808,0.05511811
68,0.07086611,0.07086614
69,0.08661413,0.08661418
70,0.10236216,0.10236220
71,0.11811018,0.11811024
72,0.13385820,0.13385826
73,0.14960635,0.14960630
74,0.16535437,0.16535433
75,0.18110240,0.18110237
76,0.19685042,0.19685039
77,0.21259844,0.21259843
78,0.22834647,0.22834645
79,0.24409449,0.24409449
80,0.25984251,0.25984251
81,0.27559054,0.27559054
82,0.29133856,0.29133859
83,0.30708659,0.30708662
84,0.32283461,0.32283464
85,0.33858263,0.33858266
86,0.35433066,0.35433072
87,0.37007868,0.37007874
88,0.38582683,0.38582677
89,0.40157485,0.40157479
90,0.41732287,0.41732284
91,0.43307090,0.43307087
92,0.44881892,0.44881889
93,0.46456695,0.46456692
94,0.48031497,0.48031497
95,0.49606299,0.49606299
96,0.51181102,0.51181102
97,0.52755904,0.52755904
98,0.54330707,0.54330707
99,0.55905509,0.55905509
100,0.57480311,0.57480317
101,0.59055114,0.59055120
102,0.60629916,0.60629922
103,0.62204719,0.62204725
104,0.63779521,0.63779527
105,0.65354335,0.65354329
106,0.66929138,0.66929132
107,0.68503940,0.68503934
108,0.70078743,0.70078743
109,0.71653545,0.71653545
110,0.73228347,0.73228347
111,0.74803150,0.74803150
112,0.76377952,0.76377952
113,0.77952754,0.77952754
114,0.79527557,0.79527557
115,0.81102359,0.81102359
116,0.82677162,0.82677168
117,0.84251964,0.84251970
118,0.85826766,0.85826772
119,0.87401569,0.87401575
120,0.88976383,0.88976377
121,0.90551186,0.90551180
122,0.92125988,0.92125982
123,0.93700790,0.93700784
124,0.95275593,0.95275593
125,0.96850395,0.96850395
126,0.98425198,0.98425198
127,1.00000000,1.00000000
