index,input,output
0,-1.00000000,0.00404000
1,-0.99215686,0.00426180
2,-0.98431373,0.00448360
3,-0.97647059,0.00470540
4,-0.96862745,0.00492720
5,-0.96078432,0.00514900
6,-0.95294118,0.00537080
7,-0.94509804,0.00559260
8,-0.93725491,0.00581440
9,-0.92941177,0.00603620
10,-0.92156863,0.00625800
11,-0.91372550,0.00647979
12,-0.90588236,0.00670159
13,-0.89803922,0.00692339
14,-0.89019608,0.00714519
15,-0.88235295,0.00736699
16,-0.87450981,0.00758879
17,-0.86666667,0.00781059
18,-0.85882354,0.00803239
19,-0.85098040,0.00781870
20,-0.84313726,0.00748597
21,-0.83529413,0.00715325
22,-0.82745099,0.00682053
23,-0.81960785,0.00648781
24,-0.81176472,0.00615508
25,-0.80392158,0.00582236
26,-0.79607844,0.00548964
27,-0.78823531,0.00515692
28,-0.78039217,0.00482419
29,-0.77254903,0.00449147
30,-0.76470590,0.00415875
31,-0.75686276,0.00382603
32,-0.74901962,0.00349330
33,-0.74117643,0.00316058
34,-0.73333329,0.00282786
35,-0.72549015,0.00249513
36,-0.71764702,0.00216241
37,-0.70980388,0.00297149
38,-0.70196074,0.00463499
39,-0.69411761,0.00629848
40,-0.68627447,0.00796198
41,-0.67843133,0.00962548
42,-0.67058820,0.01128897
43,-0.66274506,0.01295247
44,-0.65490192,0.01461596
45,-0.64705878,0.01627946
46,-0.63921565,0.01794296
47,-0.63137251,0.01960645
48,-0.62352937,0.02126995
49,-0.61568624,0.02293345
50,-0.60784310,0.02459694
51,-0.59999996,0.02626044
52,-0.59215683,0.02792393
53,-0.58431369,0.02958743
54,-0.57647055,0.03125093
55,-0.56862742,0.03200297
56,-0.56078428,0.03111578
57,-0.55294114,0.03022858
58,-0.54509801,0.02934138
59,-0.53725487,0.02845418
60,-0.52941173,0.02756699
61,-0.52156860,0.02667979
62,-0.51372546,0.02579259
63,-0.50588232,0.02490539
64,-0.49803919,0.02401819
65,-0.49019605,0.02313100
66,-0.48235291,0.02224380
67,-0.47450978,0.02135660
68,-0.46666664,0.02046940
69,-0.45882350,0.01958221
70,-0.45098037,0.01869501
71,-0.44313723,0.01780781
72,-0.43529409,0.01692061
73,-0.42745095,0.01633405
74,-0.41960782,0.01755395
75,-0.41176468,0.01877385
76,-0.40392154,0.01999374
77,-0.39607841,0.02121364
78,-0.38823527,0.02243354
79,-0.38039213,0.02365344
80,-0.37254900,0.02487333
81,-0.36470583,0.02609324
82,-0.35686269,0.02731313
83,-0.34901956,0.02853303
84,-0.34117642,0.02975293
85,-0.33333328,0.03097282
86,-0.32549015,0.03219272
87,-0.31764701,0.03341262
88,-0.30980387,0.03463252
89,-0.30196074,0.03585241
90,-0.29411760,0.03707231
91,-0.28627446,0.03829221
92,-0.27843133,0.03678465
93,-0.27058819,0.03506559
94,-0.26274505,0.03334652
95,-0.25490192,0.03162745
96,-0.24705878,0.02990839
97,-0.23921564,0.02818932
98,-0.23137251,0.02647026
99,-0.22352937,0.02475119
100,-0.21568623,0.02303213
101,-0.20784310,0.02131306
102,-0.19999996,0.01959399
103,-0.19215682,0.01787493
104,-0.18431368,0.01615586
105,-0.17647053,0.01443679
106,-0.16862740,0.01271772
107,-0.16078426,0.01099866
108,-0.15294112,0.00927959
109,-0.14509799,0.00756053
110,-0.13725485,0.00679261
111,-0.12941171,0.00640446
112,-0.12156858,0.00601631
113,-0.11372544,0.00562816
114,-0.10588230,0.00524001
