index,input,output
0,-1.00000000,0.00000000
1,-0.99215686,0.00000000
2,-0.98431373,0.00000000
3,-0.97647059,0.00000000
4,-0.96862745,0.00000000
5,-0.96078432,0.00000000
6,-0.95294118,0.00000000
7,-0.94509804,0.00000000
8,-0.93725491,0.00000000
9,-0.92941177,0.00000000
10,-0.92156863,0.00000000
11,-0.91372550,0.00000000
12,-0.90588236,0.00000000
13,-0.89803922,0.00000000
14,-0.89019608,0.00000000
15,-0.88235295,0.00000000
16,-0.87450981,0.00000000
17,-0.86666667,0.00000000
18,-0.85882354,0.00000000
19,-0.85098040,0.00000000
20,-0.84313726,0.00000000
21,-0.83529413,0.00000000
22,-0.82745099,0.00000000
23,-0.81960785,0.00000000
24,-0.81176472,0.00000000
25,-0.80392158,0.00000000
26,-0.79607844,0.00000000
27,-0.78823531,0.00000000
28,-0.78039217,0.00000000
29,-0.77254903,0.00000000
30,-0.76470590,0.00000000
31,-0.75686276,0.00000000
32,-0.74901962,0.00000000
33,-0.74117649,0.00000000
34,-0.73333335,0.00000000
35,-0.72549021,0.00000000
36,-0.71764708,0.00000000
37,-0.70980394,0.00000000
38,-0.70196080,0.00000000
39,-0.69411767,0.00000000
40,-0.68627453,0.00000000
41,-0.67843139,0.00000000
42,-0.67058825,0.00000000
43,-0.66274512,0.00000000
44,-0.65490198,0.00000000
45,-0.64705884,0.00000000
46,-0.63921571,0.00000000
47,-0.63137257,0.00000000
48,-0.62352937,0.00000000
49,-0.61568624,0.00000000
50,-0.60784310,0.00000000
51,-0.59999996,0.00000000
52,-0.59215683,0.00000000
53,-0.58431369,0.00000000
54,-0.57647055,0.00000000
55,-0.56862742,0.00000000
56,-0.56078428,0.00000000
57,-0.55294114,0.00000000
58,-0.54509801,0.00000000
59,-0.53725487,0.00000000
60,-0.52941173,0.00000000
61,-0.52156860,0.00000000
62,-0.51372546,0.00000000
63,-0.50588232,0.00000000
64,-0.49803919,0.00000000
65,-0.49019605,0.00000000
66,-0.48235291,0.00000000
67,-0.47450978,0.00000000
68,-0.46666664,0.00000000
69,-0.45882350,0.00000000
70,-0.45098037,0.00000000
71,-0.44313723,0.00000000
72,-0.43529409,0.00000000
73,-0.42745095,0.00000000
74,-0.41960782,0.00000000
